[trc] 2017-03-13 17:28:12 | Pinging peer: 107.155.87.216:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.218.222:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.218.166:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.214.182:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.218.153:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.219.16:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.219.180:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.2.61:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.217.13:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.216.48:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.215.189:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.218.105:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.218.96:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.215.201:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.251.217.128:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 149.56.155.180:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.207.158.242:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.32.226.197:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.0.149:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.0.189:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.0.178:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.0.19:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.1.132:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.1.198:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.32.224.205:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.238.152.253:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.1.180:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.1.202:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.1.203:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.1.188:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.1.197:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 23.227.163.201:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.0.221:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 198.211.106.95:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.76.92.191:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 23.92.53.167:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.2.165:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 23.92.53.136:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 23.92.53.229:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 63.142.255.85:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 23.92.53.168:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 138.197.216.240:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 138.197.214.1:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 23.92.53.230:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.131.142.198:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 157.7.221.204:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 133.130.69.151:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 122.10.119.63:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.32.63.41:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 52.40.182.224:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 150.95.146.52:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 83.11.107.191:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 139.59.255.99:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 128.199.209.38:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 115.29.246.181:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 51.15.58.25:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 139.59.249.205:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 120.26.88.41:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 188.166.184.234:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 103.254.210.55:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 54.187.22.60:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 104.237.2.58:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 103.214.141.218:8000
[trc] 2017-03-13 17:28:12 | Pinging peer: 45.124.64.54:8000
